Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=0L, retr_approx=2L, min_poly=3), score: 871.37240877 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=0L, retr_approx=2L, min_poly=3), score: 804.802720074 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=1L, retr_approx=3L, min_poly=3), score: 1652.52209077 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=1L, retr_approx=3L, min_poly=3), score: 1634.79871088 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=1L, retr_approx=3L, min_poly=3), score: 1469.19334067 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=1L, retr_approx=3L, min_poly=3), score: 1664.44677974 (best: 1727.12489168)
