Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=0L, retr_approx=2L, min_poly=3), score: 603.855928651 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=0L, retr_approx=2L, min_poly=3), score: 554.049884592 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=0L, retr_approx=2L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=1L, retr_approx=3L, min_poly=3), score: 1183.33122954 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=1L, retr_approx=3L, min_poly=3), score: 1166.30574539 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=1L, retr_approx=3L, min_poly=3), score: 1049.49779245 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=1L, retr_approx=3L, min_poly=3), score: 1196.49672087 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=1L, retr_approx=3L, min_poly=3), score: 1214.37639651 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=1L, retr_approx=3L, min_poly=3), score: 1155.26644144 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=1L, retr_approx=3L, min_poly=3), score: 1230.39536022 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=1L, retr_approx=3L, min_poly=3), score: 1218.3703931 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=1L, retr_approx=3L, min_poly=3), score: 1208.86919741 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=1L, retr_approx=3L, min_poly=5), score: 1176.75181548 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=1L, retr_approx=3L, min_poly=5), score: 1163.62154336 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=1L, retr_approx=3L, min_poly=5), score: 1046.23182112 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=1L, retr_approx=3L, min_poly=5), score: 1192.70053642 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=1L, retr_approx=3L, min_poly=5), score: 1213.78092791 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=1L, retr_approx=3L, min_poly=5), score: 1151.44858494 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=1L, retr_approx=3L, min_poly=5), score: 1221.30477216 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=1L, retr_approx=3L, min_poly=5), score: 1210.55839114 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=1L, retr_approx=3L, min_poly=5), score: 1201.53842715 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=3L, retr_approx=3L, min_poly=3), score: 1183.33122954 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=3L, retr_approx=3L, min_poly=3), score: 1166.30574539 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=3L, retr_approx=3L, min_poly=3), score: 1049.49779245 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=3L, retr_approx=3L, min_poly=3), score: 1196.49672087 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=3L, retr_approx=3L, min_poly=3), score: 1214.37639651 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=3L, retr_approx=3L, min_poly=3), score: 1155.26644144 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=3L, retr_approx=3L, min_poly=3), score: 1230.39536022 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=3L, retr_approx=3L, min_poly=3), score: 1218.3703931 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=3L, retr_approx=3L, min_poly=3), score: 1208.86919741 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=3L, retr_approx=3L, min_poly=5), score: 1176.75181548 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=3L, retr_approx=3L, min_poly=5), score: 1163.62154336 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=3L, retr_approx=3L, min_poly=5), score: 1046.23182112 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=3L, retr_approx=3L, min_poly=5), score: 1192.70053642 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=3L, retr_approx=3L, min_poly=5), score: 1213.78092791 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=3L, retr_approx=3L, min_poly=5), score: 1151.44858494 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=3L, retr_approx=3L, min_poly=5), score: 1221.30477216 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=3L, retr_approx=3L, min_poly=5), score: 1210.55839114 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=3L, retr_approx=3L, min_poly=5), score: 1201.53842715 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=0L, retr_approx=3L, min_poly=3), score: 584.115744273 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=0L, retr_approx=3L, min_poly=3), score: 566.933812668 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=0L, retr_approx=3L, min_poly=3), score: 454.577338737 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=0L, retr_approx=3L, min_poly=3), score: 605.530640855 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=0L, retr_approx=3L, min_poly=3), score: 573.13058189 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=0L, retr_approx=3L, min_poly=3), score: 541.323442016 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=0L, retr_approx=3L, min_poly=3), score: 599.747338843 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=0L, retr_approx=3L, min_poly=3), score: 590.117115184 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=0L, retr_approx=3L, min_poly=3), score: 547.578077341 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=0L, retr_approx=3L, min_poly=5), score: 0.0 (best: 1231.45382974)
ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=1L, retr_approx=2L, min_poly=5)

Params: EdgeParams(min_edge_thres=50, max_edge_thres=170, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1284.24383215 (best: 1284.24383215)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=170, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1284.24383215 (best: 1284.24383215)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=200, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1293.74474959 (best: 1293.74474959)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=200, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1293.74474959 (best: 1293.74474959)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=230, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1299.64167214 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=230, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1299.64167214 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=170, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1284.27954747 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=170, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1284.27954747 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=200, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1294.5383102 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=200, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1294.5383102 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=230, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1298.20096341 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=230, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1298.20096341 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=170, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1271.46030628 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=170, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1271.46030628 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=200, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1282.06291512 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=200, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1282.06291512 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=230, retr_type=1L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1286.63990648 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=230, retr_type=1L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1286.63990648 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=170, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1284.24383215 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=170, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1284.24383215 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=200, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1293.74474959 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=200, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1293.74474959 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=230, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1299.64167214 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=230, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1299.64167214 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=170, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1284.27954747 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=170, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1284.27954747 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=200, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1294.5383102 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=200, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1294.5383102 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=230, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1298.20096341 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=230, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1298.20096341 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=170, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1271.46030628 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=170, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1271.46030628 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=200, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1282.06291512 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=200, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1282.06291512 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=230, retr_type=3L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 1286.63990648 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=230, retr_type=3L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 1286.63990648 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=170, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=170, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=200, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=200, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=230, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=230, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=170, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=170, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=200, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=200, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=230, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=230, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=170, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=170, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=200, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=200, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=230, retr_type=0L, retr_approx=2L, min_poly=3, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=100, max_edge_thres=230, retr_type=0L, retr_approx=2L, min_poly=5, max_area_scale=1), score: 0.0 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=170, retr_type=1L, retr_approx=3L, min_poly=3, max_area_scale=1), score: 1284.3208539 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=170, retr_type=1L, retr_approx=3L, min_poly=5, max_area_scale=1), score: 1284.3208539 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=200, retr_type=1L, retr_approx=3L, min_poly=3, max_area_scale=1), score: 1293.78665877 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=200, retr_type=1L, retr_approx=3L, min_poly=5, max_area_scale=1), score: 1293.78665877 (best: 1299.64167214)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=230, retr_type=1L, retr_approx=3L, min_poly=3, max_area_scale=1), score: 1299.74565347 (best: 1299.74565347)
Params: EdgeParams(min_edge_thres=50, max_edge_thres=230, retr_type=1L, retr_approx=3L, min_poly=5, max_area_scale=1), score: 1299.74565347 (best: 1299.74565347)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=170, retr_type=1L, retr_approx=3L, min_poly=3, max_area_scale=1), score: 1282.76155593 (best: 1299.74565347)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=170, retr_type=1L, retr_approx=3L, min_poly=5, max_area_scale=1), score: 1282.76155593 (best: 1299.74565347)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=200, retr_type=1L, retr_approx=3L, min_poly=3, max_area_scale=1), score: 1293.03824071 (best: 1299.74565347)
Params: EdgeParams(min_edge_thres=75, max_edge_thres=200, retr_type=1L, retr_approx=3L, min_poly=5, max_area_scale=1), score: 1293.03824071 (best: 1299.74565347)
